Ааронов	aaron
валежник	fallen trees,twigs and branches
валенки	valenki
валенок	felt boot
валентность	valency
валерьяна	valerian
валерьяновый	valerian
валет	jack (cards)
валец	rolling press
валик	roller,cylinder,platen,bolster
валить	bring down,get out,leave,pile,stack
валиться	fall,tumble down,topple
валка	felling
валкий	unsteady,shaky,cranky
валкость	crankiness
валлиец	welsh
валовой	gross
валок	rollers,swaths,windrows
валоризация	valorization
валторна	french horn
валун	boulder
валух	wether,castrated buck
вальдшнеп	woodcock
вальс	waltz
вальсировать	waltz
вальцевать	roll
вальцовка	rolling
вальцовщик	roller,operative of rolling-mill
вальцовый	rolling
вальяжный	impressive,imposing
валюта	currency
валютный	currency
валютчик	speculator in foreign currency
валютчица	speculator in foreign currency
валяльня	fulling-mill
валяльщик	fuller
валяльщица	fuller
валяние	fulling,milling
валяный	felt
валять	drag,roll,felt,full
валяться	lie about,be scattered all over,lie,loll about,roll
валёк	battledore,loom,swingletree,roller
вам	dative of "you (plural)",dative of "you (formal)"
вампир	vampire,vampire-bat
ванадий	vanadium
вандал	vandal
вандализм	vandalism
ванилин	vanillin
ваниль	vanilla
ванильный	adjective of ваниль
ванна	bath,bathtub
ванная	bathroom
ванты	shrouds
ванька-встанька	cork-tumbler,tilting doll
вапоризатор	vaporizer
вапоризация	vaporization
вар	pitch
варан	monitor lizard
варвар	barbarian
варваризм	barbarism
варварский	barbarian,barbarous
варварство	barbarism,barbarity,vandalism
варево	soup,broth
варежка	mitten
варенец	varenets
вареник	varenik
варенье	preserve,jam
вариант	option
вариационный	variation
вариация	variation
варить	cook sth boiling,brew,found metal,weld
вариться	cook,broil,boil
варка	cooking
варница	saltworks
варшава	warsaw
варьете	variety show
варьировать	vary,modify
варяг	varangian
варяжский	varangian
варёный	boiled
вас	you
василиск	basilisk
васильковый	cornflower blue
василёк	cornflower
вассал	vassal,liegeman
вассальный	adjective of вассал
вата	wadding,cotton wool
ватага	crowd,throng,band
ватерклозет	water-closet
ватерлиния	water-line
ватерпас	water-level
ватерполист	water-polo player
ватерполо	water polo
ватин	sheet wadding
ватка	little piece,small wad,of cotton wool
ватман	whatman
ватник	quilted jacket
ватный	lined with wadding,quilted
ватрушка	curd tart,cheese-cake
ватт	watt-hour
вафельница	waffle-iron
вафельный	waffle
вафля	wafer,waffle
вахлак	lout
вахмистр	cavalry sergeant-major
вахта	watch
вахтенный	watch
вахтовый	shift
вахтёр	senior watchman,janitor,porter
ваяние	sculpture
ваятель	sculptor
ваять	sculpture,sculpt,chisel,carve,model
вбегать	come running in,come rushing in,run,come rushing
вбежать	come running in,come rushing in,run,come rushing
вбивать	drive in,hammer in
вбирать	absorb,drink in,suck in,inhale
вбираться	soak
вбить	drive in,hammer in
вблизи	close by,nearby
вбок	sideways
вбрасывать	throw in
вбросить	throw in
вваливать	heave
вваливаться	tumble,barge,burst
ввалившийся	sunken,hollow
ввалить	heave
введение	introduction,preface
ввезти	bring in,import
ввек	never
ввергать	fling,plunge
ввергнуть	fling,plunge
вверить	trust
ввернуть	put in
вверх	up,upwards,upstream
вверху	above,overhead
вверять	trust
вверяться	trust
ввести	bring in,introduce
ввечеру	in the evening
ввиду	in view,owing to
ввинчивать	screw
ввод	lead-in
вводить	bring in,introduce
вводный	introductory
ввоз	import,importation
ввозить	bring in,import
ввозный	imported
вволю	in plenty
ввосьмеро	eight times
ввосьмером	eight
ввысь	high into the air
ввязать	knit in,mix up,involve
ввязаться	get into,get involved
ввязывать	knit in,mix up,involve
ввязываться	meddle
вглубь	deep down,deep into
вглядеться	peer
вглядываться	peer
вгонять	drive in,drive
вгорячах	in the heat of the moment
вдаваться	undertake,go into
вдавить	press
вдавливать	press
вдавливаться	press in
вдалбливать	ram,drum,din
вдалеке	in the distance,at a distance,far off
вдали	in the distance,at a distance,far off
вдаль	far
вдаться	jut out
вдвигать	move,push
вдвигаться	go in
вдвинуть	move,push
вдвое	twice,half,in half
вдвойне	double,doubly,particularly,especially
вдвоём	two
вдевать	pass,thread,put in
вдевятеро	nine times
вдевятером	nine
вделать	fit,fix,set
вделывать	fit,fix,set
вдесятеро	ten times
вдесятером	ten
вдеть	pass,thread,put in
вдобавок	in addition,to boot,moreover,into the bargain,on top of everything
вдова	widow
вдоветь	be widowed,be a widow,be a widower
вдовец	widower
вдовий	adjective of вдова
вдоволь	in plenty,in abundance
вдовство	widowhood,widowerhood
вдовствовать	be a window,be a widower
вдовый	widowed
вдогонку	after,in pursuit of
вдоль	along
вдох	inhalation,breath
вдохновение	inspiration,enthusiasm
вдохновенно	inspiredly,with enthusiasm,enthusiastically
вдохновенный	inspired,enthusiastic
вдохновитель	inspirer
вдохновить	inspire
вдохновлять	inspire
вдохнуть	breathe,instil,inspire
вдребезги	into smithereens
вдруг	suddenly,all of a sudden
вдувание	insufflation,pneumothorax
вдувать	blow
вдумчивость	thoughtfulness
вдумчивый	serious,profound,thoughtful,penetrating
вдумываться	consider,think over,ponder
вдуть	blow
вдыхание	inhalation
вдыхательный	respiratory
вдыхать	inhale,breathe in
вдёргивать	pull,pass
вегетарианец	vegetarian
вегетарианка	vegetarian (for women)
вегетарианский	vegetarian
вегетарианство	vegetarianism
вегетативный	vegetative
вегетационный	vegetation,vegetative
вегетация	vegetation
ведать	know
ведение	authority,conducting
ведомость	list,register,gazette
ведомственный	departmental,narrow,bureaucratic
ведомство	department
ведомый	driven,supporting aircraft,second,wingman
ведренный	fine
ведро	bucket,pail,twenty-one pints,fine weather
ведущий	news reporter,chief,leading,leading plane,leader
ведь	you know,after all,even
ведьма	witch,vixen,hag,harridan
ведьмак	witcher
